contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
bon des	1	1	0	n
mm ils	1	0	0	sont
aller aux	4	3	0	n
ou ça	2	1	1	v
girafes parce+que	1	0	0	tu
dans mon	4	4	0	n
vous y	2	0	2	avez
les arbres	1	1	0	sont
{ n'	2	0	1	ayez
craie ça	1	0	1	v
un merci	1	0	0	pour
{ ses	2	2	0	n
fait très	1	0	0	très
chansons avec	1	0	0	les
la chèvre	1	0	0	
être un	4	4	0	n
les pommes	1	0	0	
poule le	1	1	0	n
bonbons et	1	0	0	des
comme cette	1	1	0	n
un voyou	1	0	0	je
elle vient	2	0	2	de
comme elle	2	0	1	v
déjà l'	2	2	0	n
dur à	2	0	2	la
juste les	1	1	0	xxxlà
son pyjama	1	0	0	de
Nini bébé	1	1	0	et
bonjour dit	1	0	0	que
mieux y	1	0	1	en
pouvoir ouh	1	0	1	la
et on	4	0	4	v
oh du	1	1	0	n
de jolis	1	1	0	n
vrai petit	1	1	0	n
terminé de	1	0	1	n
pierre lapin	1	0	0	il
elle est	68	6	19	pas
drôles d'	1	1	0	v
garçons qui	1	0	0	v
ben y+a	2	1	0	pas
il va	21	0	13	v
semble moins	1	0	0	de
révise mes	1	1	0	n
ouh à	1	1	0	la
dis bonjour	1	0	0	à
mieux ton	1	1	0	n
fait là	1	0	0	le
euh m'	1	0	1	v
est belle	1	0	0	n
importe quel	1	1	0	n
parce+que elles	1	0	0	sont
faim à	1	1	0	la
qu'est+ce+qu' elles	5	0	3	v
aussi des	2	2	0	n
{ mon	1	1	0	n
auras quel	2	2	0	n
des bonnes	1	1	0	n
attend on	2	0	2	v
sport d'	1	1	0	v
ai plus	3	3	0	n
as les	8	8	0	n
y+a plusieurs	1	1	0	n
te le	12	2	8	v
sont ces	1	1	0	n
ça cet	1	1	0	n
au vent	1	1	0	qui
de petits	2	2	0	n
histoire des	1	1	0	petits
lui le	3	3	0	n
faire ça	1	0	0	parce+que
fait une	8	5	1	n
as enlevé	1	0	0	le
mais garde	1	0	0	le
mettre par	1	1	0	là
à toi	1	0	0	de
quoi aussi	1	0	0	à
à être	2	0	1	désobéissante
niveau du	1	1	0	n
le malheureux	1	0	1	
après la	2	2	0	n
tourner les	1	1	0	n
attraper mon	1	1	0	n
une grande	10	10	0	n
y+a un	31	30	0	n
tombée la	1	1	0	n
tomber en	1	1	0	n
tu dois	2	0	1	v
suivent les	1	0	0	n
soyez sages	1	0	0	là
avoir des	5	5	0	n
pour dans	1	0	0	la
deux trois	14	14	0	n
cinq six	2	0	0	sept
coller des	1	1	0	n
venus un	1	1	0	n
le papa	2	2	0	et
mais les	1	1	0	n
manque au	1	1	0	n
la remettre	1	0	0	dans
es juste	1	0	1	un
papa va	1	0	0	v
que des	4	3	0	n
fantastique dit	1	0	0	que
change le	1	0	0	n
voit que	1	0	0	les
il fasse	1	0	0	du
avais ton	1	1	0	n
des grands	2	2	0	n
gâteaux une	1	1	0	n
les courses	1	0	0	
plus près	1	0	0	possible
y+a d'effroyables	1	1	0	
patins à	1	1	0	la
eu quel	1	1	0	n
avoir le	1	1	0	n
