année	10
violet	17
bouche	118
travaux	12
pois	8
patience	2
conduit	5
légo	8
boisson	1
peton	2
bâtiment	1
abri	3
bruitage	1
joue	70
onze	1
truc	51
agréable	6
jonc	2
abricot	7
rigolote	1
timidité	1
plongeur	1
vendredi	1
trésor	1
réputation	1
précaution	1
exemple	24
poignée	8
prêté	2
cousin	16
onomatopée	1
sommeil	11
artichaud	1
puceron	1
vache	90
punaise	3
programme	1
pioche	2
problème	24
sorcier	20
bille	2
autoroute	1
musique	63
paon	5
marin	4
galerie	1
trottoir	8
pont+levis	1
pneumatique	1
couvert	7
madeleine	1
fenêtre	47
boulot	2
scène	1
position	2
plastique	17
télévision	5
pingouin	6
mécanicien	5
tape	16
pente	1
foot	2
nombril	2
excité	1
manière	7
course	19
bosse	13
frère	20
planète	2
rossignol	2
tétine	40
beauté	2
blessé	4
soi	6
sapin	47
idiot	1
caresse	11
mousse	5
paillette	14
haut	64
fête	24
rhum	11
maternelle	1
plage	13
garage	26
serre	4
kiné	1
marteau	36
éternité	1
vanille	4
mammifère	1
tornade	2
crêche	12
code	1
nature	1
doigt	107
gâteau	130
capot	1
complet	2
tête	256
arrêté	7
valise	21
temps	95
occasion	2
catalogue	1
girafe	22
alphabet	3
produit	2
fer+à+repasser	2
métro	3
instant	32
set	4
bifteck	2
tendance	4
bricolage	6
explication	1
mal	146
chevet	1
épingle	1
décolleté	1
soufflé	3
intérieur	25
crevette	3
bigorneau	1
mouton	70
mosaïque	2
demi	6
poupon	11
copine	14
baiser	1
peinture	19
mandarin	26
lâche	3
glaçage	1
bêtise	37
dindon	6
cauchemar	1
banque	1
entrée	1
période	2
maillot	3
peau	11
brute	5
essence	17
tentation	1
quatrième	2
parking	1
dragon	1
tournesol	2
machin	26
marionette	3
champ	3
fourrure	2
lune	41
arrondi	2
gris	10
griffe	4
porte+manteau	1
ours	57
réflexe	2
compte	17
talon	2
température	2
pêcher	6
pique	32
potiron	1
petits+enfants	1
coudre	1
clipo	10
groseille	5
toupie	6
poussin	106
ardoise	10
cadeau	38
éponge	12
impression	20
top	1
marée	1
creux	6
canard	105
neige	40
pansement	5
proximité	1
bébé	377
sang	5
bretelle	8
direction	3
extincteur	1
fatigue	7
brindille	1
médecin	6
pousse	32
botte	29
toile	3
cri	7
nombre	5
malheur	1
s	1
vase	11
bleu	70
biscuit	8
bac	4
araignée	16
tenue	1
chèque	1
boue	3
maison	175
silencieuse	1
troisième	5
passeport	2
scotch	21
pharmacie	1
trot	2
départ	6
objet	10
semelle	3
fumée	4
attitude	1
zèbre	7
diagnostic	1
déménagement	1
week+end	10
fou	6
cent	1
gouvernail	1
pizza	4
chope	1
présent	3
bouton	66
calme	14
lecteur	1
crocodile	44
arracheur	1
ruche	6
elastique	1
docteur	11
sport	10
toucher	19
prune	4
pincée	2
courant	5
zizi	1
coquette	4
couvercle	25
destin	1
liberté	1
puce	2
mieux	119
glaçon	1
bronchite	2
passage	3
poster	1
coloris	1
ruisseau	1
claque	3
cantine	5
allemand	1
rainette	6
auriculaire	1
tente	3
indice	4
bec	21
entier	3
arrosoir	8
cane	1
oie	20
linge	11
signal	1
saucisse	10
français	1
papi	27
maîtresse	6
noir	37
résultat	1
hasard	8
placard	9
certificat	1
vingt	1
lutin	4
tissu	6
croissant	2
hérisson	17
looping	1
cric	6
dingo	1
plongeon	1
feutre	14
allure	2
basse	3
baleine	7
patate	2
piège	2
fin	19
bouée	6
goûter	23
céréale	3
canne+à+pêche	1
bâtonnet	1
classique	2
lavande	4
oeuf	85
chaise+à+bascule	1
pluie	6
angle	6
chat	125
matin	93
décor	1
crabe	23
semaine	15
gourmandise	1
parfum	2
ingrédient	1
oeuvre	3
maïs	6
poulailler	5
compteur	1
hochet	3
rideau	8
tuile	2
violent	1
moment	53
crise	1
italien	1
noeud	30
jumelles	7
grâce	1
grosseur	1
libellule	6
bourdon	6
rouleau	1
guili	59
pareil	17
cavalier	8
goût	2
klaxon	3
fruitier	1
assiette	77
serviette	14
dauphin	16
chewing+gum	4
stop	1
légume	15
culotte	16
banc	3
pétale	8
stage	1
ciel	25
connaissance	1
couche	34
cheval	131
chaud	38
thé	19
super	27
pêcheur	1
changement	1
lèche	4
brosse+à+dents	2
dieu	6
après+midi	12
api	3
jeune	4
montre	94
appelé	1
tir	37
dire	72
menu	1
idée	61
interdit	11
présentoir	1
chemise	7
ski	13
pichet	1
loustic	2
téléphérique	1
mur	36
cochon	47
oncle	1
sucre	23
sien	1
guirlande	8
vin	2
buisson	2
plonge	1
poudre	1
agrafeuse	2
ré	1
u	2
poule	103
domino	7
foulard	1
honneur	1
lanière	1
paille	12
père+noël	24
chargé	2
star	1
équilibre	2
papillote	1
lave	11
poulet	16
banquise	1
cochonnerie	1
gras	2
balançoire	8
foret	1
vachette	4
tabouret	9
fringale	1
mûre	3
chaudron	2
coing	1
cancan	5
argent	43
arme	2
larme	3
solution	1
signe	1
forêt	3
flocon	4
potager	3
aubaine	1
oisillon	1
cerisier	1
moyen	1
body	3
perdrix	2
usine	1
fesse	15
document	1
oiseau	139
mauvais	5
bois	62
fourmilier	2
crève	1
mademoiselle	5
morceau	115
bracelet	11
professionnelle	1
plume	19
trompette	2
combiné	1
frousse	1
bateau	65
exercice	1
myrtille	1
salle	4
grand+mère	5
hélicoptère	27
chiffre	8
