k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.5897435897435898	0.3137254901960784	0.02937420178799489	0.03225806451612903	0	0	0
1	0.5675675675675675	0.2982456140350877	0.027202072538860103	0.03353057199211045	0	0	0
2	0.5862068965517241	0.35294117647058826	0.02288021534320323	0.03557312252964427	0	0	0
3	0.52	0.3181818181818182	0.017881705639614855	0.03776978417266187	0	0	0
4	0.44	0.3225806451612903	0.015151515151515152	0.03590664272890485	0	0	0
5	0.40540540540540543	0.39215686274509803	0.02066115702479339	0.04310344827586207	0	0	0
6	0.4482758620689655	0.2909090909090909	0.018335684062059238	0.032989690721649485	0	0	0
7	0.3783783783783784	0.36363636363636365	0.019444444444444445	0.031496062992125984	0	0	0
8	0.3125	0.26785714285714285	0.013386880856760375	0.027422303473491772	0	0	0
9	0.6086956521739131	0.28378378378378377	0.018205461638491547	0.04030710172744722	0	0	0
