k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.6010928961748634	0.3054393305439331	0.13924050632911392	0.14717741935483872	0	0	0
1	0.49047619047619045	0.3055555555555556	0.1329032258064516	0.15187376725838264	0	0	0
2	0.4789473684210526	0.32407407407407407	0.12133333333333333	0.1383399209486166	0	0	0
3	0.53	0.3116883116883117	0.14500683994528044	0.12949640287769784	0	0	0
4	0.4915254237288136	0.31225296442687744	0.11950549450549451	0.14183123877917414	0	0	0
5	0.52	0.31683168316831684	0.12364130434782608	0.13793103448275862	0	0	0
6	0.45108695652173914	0.32751091703056767	0.11592178770949721	0.15463917525773196	0	0	0
7	0.5742574257425742	0.2981651376146789	0.16022099447513813	0.1279527559055118	0	0	0
8	0.47150259067357514	0.3717948717948718	0.1205298013245033	0.1590493601462523	0	0	0
9	0.5238095238095238	0.2924901185770751	0.11384217335058215	0.1420345489443378	0	0	0
