k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.7254901960784313	0.4857142857142857	0.10632183908045977	0.05167173252279635	507	354	70
1	0.6527777777777778	0.48214285714285715	0.1441717791411043	0.07670454545454546	488	358	73
2	0.7096774193548387	0.5211267605633803	0.06646525679758308	0.1111111111111111	498	351	85
3	0.4722222222222222	0.4166666666666667	0.05723905723905724	0.055248618784530384	507	339	82
4	0.5454545454545454	0.611764705882353	0.056782334384858045	0.13471502590673576	524	358	70
5	0.5882352941176471	0.4270833333333333	0.03205128205128205	0.13141025641025642	504	304	68
6	0.6744186046511628	0.7169811320754716	0.10175438596491228	0.12063492063492064	489	291	70
7	0.6888888888888889	0.5692307692307692	0.09717868338557993	0.10662824207492795	472	347	79
8	0.5616438356164384	0.5	0.12023460410557185	0.09315068493150686	516	383	87
9	0.6785714285714286	0.43283582089552236	0.0627062706270627	0.08504398826979472	476	346	71
