k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.6728395061728395	0.48656716417910445	0.307909604519774	0.49544072948328266	507	354	70
1	0.5966850828729282	0.550561797752809	0.3282674772036474	0.5568181818181818	488	358	73
2	0.6858974358974359	0.5411764705882353	0.31845238095238093	0.5525525525525525	498	351	85
3	0.4928571428571429	0.6063492063492063	0.22697368421052633	0.5276243093922652	507	339	82
4	0.6558441558441559	0.5459459459459459	0.3166144200626959	0.5233160621761658	524	358	70
5	0.47619047619047616	0.48265895953757226	0.1892744479495268	0.5352564102564102	504	304	68
6	0.6190476190476191	0.525679758308157	0.22807017543859648	0.5523809523809524	489	291	70
7	0.5370370370370371	0.5958904109589042	0.35802469135802467	0.5014409221902018	472	347	79
8	0.5344827586206896	0.5389048991354467	0.27113702623906705	0.5123287671232877	516	383	87
9	0.5918367346938775	0.547752808988764	0.28431372549019607	0.5718475073313783	476	346	71
