k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.9356060606060606	0.8133333333333334	0.33065595716198126	0.13174946004319654	971	497	59
1	0.8922413793103449	0.9310344827586207	0.2875	0.16770186335403728	981	469	63
2	0.9166666666666666	0.810126582278481	0.26945244956772335	0.13305613305613306	990	459	77
3	0.8922413793103449	0.8	0.2991329479768786	0.13980582524271845	985	496	62
4	0.9041095890410958	0.872093023255814	0.29289940828402367	0.14395393474088292	964	482	57
5	0.9107142857142857	0.813953488372093	0.2259970457902511	0.16317016317016317	938	443	70
6	0.9409448818897638	0.7454545454545455	0.3593984962406015	0.09010989010989011	921	450	53
7	0.8967136150234741	0.9130434782608695	0.28088235294117647	0.13070539419087138	935	440	66
8	0.9207547169811321	0.8235294117647058	0.3465909090909091	0.1364522417153996	943	535	71
9	0.923728813559322	0.8974358974358975	0.30193905817174516	0.14314928425357873	953	510	55
