k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.9033742331288344	0.77088948787062	0.7822045152722443	0.6177105831533477	971	497	59
1	0.9083333333333333	0.7744360902255639	0.7486263736263736	0.639751552795031	981	469	63
2	0.912751677852349	0.7801932367149759	0.7782546494992847	0.6715176715176715	990	459	77
3	0.9141856392294221	0.8071748878923767	0.7521613832853026	0.6990291262135923	985	496	62
4	0.9099099099099099	0.7746478873239436	0.7404692082111437	0.6333973128598849	964	482	57
5	0.9186851211072664	0.7880434782608695	0.7729257641921398	0.675990675990676	938	443	70
6	0.9282786885245902	0.7433414043583535	0.681203007518797	0.6747252747252748	921	450	53
7	0.9100917431192661	0.8103896103896104	0.726207906295754	0.6473029045643154	935	440	66
8	0.901294498381877	0.817283950617284	0.7845070422535211	0.645224171539961	943	535	71
9	0.9135399673735726	0.8207282913165266	0.7671232876712328	0.5991820040899796	953	510	55
