k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.82	0.75	0.21494102228047182	0.043933054393305436	1118	417	41
1	0.8528301886792453	0.9411764705882353	0.3070652173913043	0.032520325203252036	1058	434	53
2	0.8646616541353384	0.7307692307692307	0.3234880450070324	0.038696537678207736	1101	401	66
3	0.845360824742268	0.9230769230769231	0.351931330472103	0.0223463687150838	1090	444	48
4	0.8687782805429864	0.92	0.2807017543859649	0.04275092936802974	1068	424	49
5	0.8472222222222222	0.8	0.35413642960812775	0.06292134831460675	1023	407	51
6	0.8585209003215434	1.0	0.3920704845814978	0.02748414376321353	1025	394	38
7	0.8304347826086956	0.9375	0.2756132756132756	0.06072874493927125	1019	405	53
8	0.856	0.8620689655172413	0.2993006993006993	0.04734848484848485	1035	496	56
9	0.8581560283687943	0.8846153846153846	0.3315068493150685	0.04518664047151277	1094	423	42
