k_fold	precision_n	precision_v	rappel_n	rappel_v	nb_tri	nb_bi	nb_none
0	0.8760217983651226	0.7209302325581395	0.832901554404145	0.6485355648535565	1118	417	41
1	0.8571428571428571	0.7118997912317327	0.8145161290322581	0.693089430894309	1058	434	53
2	0.8740849194729137	0.7847222222222222	0.8303198887343533	0.6904276985743381	1101	401	66
3	0.8624260355029586	0.7484662576687117	0.8257790368271954	0.6815642458100558	1090	444	48
4	0.8573551263001485	0.7656903765690377	0.8326118326118326	0.6802973977695167	1068	424	49
5	0.8571428571428571	0.7538461538461538	0.833810888252149	0.6606741573033708	1023	407	51
6	0.8644859813084113	0.7145922746781116	0.8090379008746356	0.7040169133192389	1025	394	38
7	0.8521229868228404	0.7573529411764706	0.8278805120910384	0.6255060728744939	1019	405	53
8	0.8591549295774648	0.7632743362831859	0.8425414364640884	0.6534090909090909	1035	496	56
9	0.8736998514115899	0.7477477477477478	0.7956698240866035	0.6522593320235757	1094	423	42
