décorer	10
semer	4
pleuvoir	13
gagner	33
fauter	1
animer	2
correspondre	3
ressortir	4
bloquer	4
tricoter	3
dandiner	1
venger	1
veiller	55
rayer	7
jouer	467
mélanger	15
dresser+redresser	1
cacher	158
intervenir	2
écrabouiller	5
roder	1
assie	1
démonter	6
balancer	6
montrer+remontrer	3
preparait	1
maquiller	6
bagarrer	1
laver	54
abandonner	2
gronder	19
chauffer	14
aller	4210
pomper	1
arrêter	158
laisser	128
sonner+résonner	1
geindre	2
celer	26
rigoler	17
rencontrer	4
punir	5
forcer	11
compliquer	6
éteindre	24
éplucher	3
joindre	5
motiver	3
extasier	1
inventer	8
appuyer	171
couper+recouper	1
risquer	9
emplir	1
rajouter	16
distribuer	6
commander	1
placer	6
attrape	13
composer	3
noter	4
régler	5
éternuer	1
endormir	25
chamailler	2
terrer	2
grelotter	1
creuser	13
essuyer	38
skier	1
rincer	4
taire^RE+tenir	1
nager	10
manipuler	1
longer	1
tester	2
peser	5
rappeler	147
hocher	1
enfiler	6
escalader	2
combler	1
obliger	1
parier	1
craindre	4
grimper	10
grésiller	13
ailler	28
plier	8
marquer	28
aménager	2
construire+construire	2
chuter	1
patienter	4
blaguer	1
fournir	1
manque	26
passé	27
ouvrir	144
pardonner	2
perfectionner	2
offrir	16
corner	1
contenter	1
déguiser	7
imprimer	1
perdre+perdre	1
fâcher	2
habituer	5
exploser	1
donne	177
dire+dire	2
astiquer	1
souffler	29
cracher+recracher	1
mise	14
discuter	7
organiser	1
ronfler	13
entretenir	1
taquiner	1
nourrir	6
détacher	4
glisser	33
fumer	2
fuir	8
pêcher	18
serrer	4
accueillir	1
rendre	40
conduire	1
présenter	4
écoute	54
dévorer	1
bascule	10
cuire	24
glacer	1
dormir	138
encourager	2
devenir+redevenir	2
penser	113
acharner	1
voir	1591
blottir	2
gêne	26
entraîner	2
géner	5
caqueter	4
soigner	19
rappuyer	4
mets	221
chuchoter	1
casser	166
ravir	1
déranger	9
défendre	2
trembler	2
brancher	5
entamer	1
entasser	1
construire+reconstruire	6
étrangler	2
pendre	1
lier+relier	7
autoriser	3
guérir	3
proposer	30
secourir	1
réduire	1
agir+agiter^v+réagir	1
luire	82
dérouler	2
sculpter	1
muer+remuer	19
faire+faire	9
crier	25
bailler	4
excuser	8
apprendre	37
pleurer	40
toucher	57
agacer	1
amener	47
couiner	2
songer	1
butiner	3
quitter	2
vouloir+vouloir	1
tracer	1
fausser	2
entendre	138
fixer	2
passer	203
attendre	556
terminer	93
passionner	2
couvrir+recouvrir	1
rallumer	3
prononcer	2
savoir+savoir	2
finir	121
feutrer	1
améliorer	3
réconforter	1
baisser	4
détruire	2
donner	266
policer	1
découvrir	9
signer	2
